it,SNR,mod,acc,f1
3,16,PAM4,0.7333333333333333,0.9255499153976311
3,18,BPSK,0.7192857142857143,0.833195020746888
3,18,QAM16,0.7192857142857143,0.7673531655225019
3,18,QPSK,0.7192857142857143,0.5866486850977748
3,18,8PSK,0.7192857142857143,0.28247162673392184
3,18,GFSK,0.7192857142857143,0.7477477477477478
3,18,CPFSK,0.7192857142857143,0.7808219178082191
3,18,PAM4,0.7192857142857143,0.9138513513513513
4,-10,BPSK,0.15119047619047618,0.10738255033557048
4,-10,QAM16,0.15119047619047618,0.09873417721518986
4,-10,QPSK,0.15119047619047618,0.17627118644067796
4,-10,8PSK,0.15119047619047618,0.2391232148787778
4,-10,GFSK,0.15119047619047618,0.11376564277588168
4,-10,CPFSK,0.15119047619047618,0.0
4,-10,PAM4,0.15119047619047618,0.0
4,-8,BPSK,0.17095238095238094,0.11237785016286644
4,-8,QAM16,0.17095238095238094,0.20606060606060608
4,-8,QPSK,0.17095238095238094,0.19749652294853964
4,-8,8PSK,0.17095238095238094,0.25864553314121036
4,-8,GFSK,0.17095238095238094,0.12554112554112554
4,-8,CPFSK,0.17095238095238094,0.0
4,-8,PAM4,0.17095238095238094,0.01644736842105263
4,-6,BPSK,0.2702380952380952,0.18717759764185704
4,-6,QAM16,0.2702380952380952,0.5813953488372093
4,-6,QPSK,0.2702380952380952,0.18859315589353612
4,-6,8PSK,0.2702380952380952,0.2859589041095891
4,-6,GFSK,0.2702380952380952,0.25705329153605017
4,-6,CPFSK,0.2702380952380952,0.0033167495854063023
4,-6,PAM4,0.2702380952380952,0.28291316526610644
4,-4,BPSK,0.4235714285714286,0.4451460142067877
4,-4,QAM16,0.4235714285714286,0.697642163661581
4,-4,QPSK,0.4235714285714286,0.21410365335598977
4,-4,8PSK,0.4235714285714286,0.31907025884838874
4,-4,GFSK,0.4235714285714286,0.31884057971014496
4,-4,CPFSK,0.4235714285714286,0.0033003300330033004
4,-4,PAM4,0.4235714285714286,0.7836034318398475
4,-2,BPSK,0.44,0.519059205190592
4,-2,QAM16,0.44,0.529718456725756
4,-2,QPSK,0.44,0.22833843017329256
4,-2,8PSK,0.44,0.29920116194626
4,-2,GFSK,0.44,0.4118268215417107
4,-2,CPFSK,0.44,0.07044410413476263
4,-2,PAM4,0.44,0.7498063516653757
4,0,BPSK,0.42023809523809524,0.46616541353383456
4,0,QAM16,0.42023809523809524,0.5022200296003946
4,0,QPSK,0.42023809523809524,0.10594315245478035
4,0,8PSK,0.42023809523809524,0.1769005847953216
4,0,GFSK,0.42023809523809524,0.47321428571428575
4,0,CPFSK,0.42023809523809524,0.32463110102156645
4,0,PAM4,0.42023809523809524,0.706474820143885
4,2,BPSK,0.6028571428571429,0.7184643510054846
4,2,QAM16,0.6028571428571429,0.5880966411314084
4,2,QPSK,0.6028571428571429,0.22704081632653061
4,2,8PSK,0.6028571428571429,0.3988563259471051
4,2,GFSK,0.6028571428571429,0.7043062200956938
4,2,CPFSK,0.6028571428571429,0.6784810126582278
4,2,PAM4,0.6028571428571429,0.8394648829431437
4,4,BPSK,0.699047619047619,0.8237378210806023
4,4,QAM16,0.699047619047619,0.6917900403768507
4,4,QPSK,0.699047619047619,0.3440366972477064
4,4,8PSK,0.699047619047619,0.5553080920564217
4,4,GFSK,0.699047619047619,0.7367424242424243
4,4,CPFSK,0.699047619047619,0.7815924032140249
4,4,PAM4,0.699047619047619,0.8921998247151622
4,6,BPSK,0.7276190476190476,0.8367697594501718
4,6,QAM16,0.7276190476190476,0.7526881720430106
4,6,QPSK,0.7276190476190476,0.415948275862069
4,6,8PSK,0.7276190476190476,0.6064425770308124
4,6,GFSK,0.7276190476190476,0.7566089334548769
4,6,CPFSK,0.7276190476190476,0.7862993298585258
4,6,PAM4,0.7276190476190476,0.8963093145869947
4,8,BPSK,0.7440476190476191,0.8649107901444351
4,8,QAM16,0.7440476190476191,0.7739403453689169
4,8,QPSK,0.7440476190476191,0.48725790010193676
4,8,8PSK,0.7440476190476191,0.6180505415162456
4,8,GFSK,0.7440476190476191,0.7529200359389039
4,8,CPFSK,0.7440476190476191,0.7865168539325842
4,8,PAM4,0.7440476190476191,0.9022026431718062
4,10,BPSK,0.7423809523809524,0.8470181503889369
4,10,QAM16,0.7423809523809524,0.7698289269051322
4,10,QPSK,0.7423809523809524,0.5014691478942213
4,10,8PSK,0.7423809523809524,0.6141732283464567
4,10,GFSK,0.7423809523809524,0.7697907188353047
4,10,CPFSK,0.7423809523809524,0.7993966817496229
4,10,PAM4,0.7423809523809524,0.8886894075403949
4,12,BPSK,0.7438095238095238,0.8539518900343642
4,12,QAM16,0.7438095238095238,0.7913669064748202
4,12,QPSK,0.7438095238095238,0.47070506454816285
4,12,8PSK,0.7438095238095238,0.6113914924297044
4,12,GFSK,0.7438095238095238,0.7559633027522935
4,12,CPFSK,0.7438095238095238,0.7863501483679525
4,12,PAM4,0.7438095238095238,0.9176062445793581
4,14,BPSK,0.7397619047619047,0.848013816925734
4,14,QAM16,0.7397619047619047,0.7800963081861958
4,14,QPSK,0.7397619047619047,0.5
4,14,8PSK,0.7397619047619047,0.6308139534883721
